problem,solver,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,containment_violations,value
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,0.2,5.656854249492381,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,0.2,5.656854249492381,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,0.2,5.656854249492381,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,0.2,5.656854249492381,28.284271247461902,160,122,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,14,0.0,0.0,28.284271247461902,119,140,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,14,0.0,0.0,28.284271247461902,119,140,,0.85
ibk1,random_search,lu,ls,check,overlap,5000,14,0.0,0.0,28.284271247461902,119,140,,0.918918918918919
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,14,0.0,0.0,28.284271247461902,119,140,,0.85
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,14,0.0,0.0,28.284271247461902,119,105,,0.8151260504201681
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,14,0.0,0.0,28.284271247461902,119,105,,0.9238095238095239
ibk1,random_search,lu,cw,finding,overlap,5000,14,0.0,0.0,28.284271247461902,119,105,,0.8660714285714286
